af,Apr [abbreviated month],Apr
af,April [month],April
af,Aug [abbreviated month],Aug
af,August [month],Augustus
af,Dec [abbreviated month],Des
af,December [month],Desember
af,Feb [abbreviated month],Feb
af,February [month],Februarie
af,Fri [abbreviated weekday],Vr
af,Friday [weekday],Vrydag
af,Jan [abbreviated month],Jan
af,January [month],Januarie
af,Jul [abbreviated month],Jul
af,July [month],Julie
af,Jun [abbreviated month],Jun
af,June [month],Junie
af,Mar [abbreviated month],Mar
af,March [month],Maart
af,May [abbreviated month],Mei
af,May [month],Mei
af,Mon [abbreviated weekday],Ma
af,Monday [weekday],Maandag
af,Nov [abbreviated month],Nov
af,November [month],November
af,Oct [abbreviated month],Okt
af,October [month],Oktober
af,Sat [abbreviated weekday],Sa
af,Saturday [weekday],Saterdag
af,Sep [abbreviated month],Sep
af,September [month],September
af,Sun [abbreviated weekday],So
af,Sunday [weekday],Sondag
af,Thu [abbreviated weekday],Do
af,Thursday [weekday],Donderdag
af,Tue [abbreviated weekday],Di
af,Tuesday [weekday],Dinsdag
af,Wed [abbreviated weekday],Wo
af,Wednesday [weekday],Woensdag
am,Apr [abbreviated month],ኤፕረ
am,April [month],ኤፕረል
am,Aug [abbreviated month],ኦገስ
am,August [month],ኦገስት
am,Dec [abbreviated month],ዲሴም
am,December [month],ዲሴምበር
am,Feb [abbreviated month],ፌብሩ
am,February [month],ፌብሩወሪ
am,Fri [abbreviated weekday],ዓርብ
am,Friday [weekday],ዓርብ
am,Jan [abbreviated month],ጃንዩ
am,January [month],ጃንዩወሪ
am,Jul [abbreviated month],ጁላይ
am,July [month],ጁላይ
am,Jun [abbreviated month],ጁን 
am,June [month],ጁን
am,Mar [abbreviated month],ማርች
am,March [month],ማርች
am,May [abbreviated month],ሜይ 
am,May [month],ሜይ
am,Mon [abbreviated weekday],ሰኞ 
am,Monday [weekday],ሰኞ
am,Nov [abbreviated month],ኖቬም
am,November [month],ኖቬምበር
am,Oct [abbreviated month],ኦክተ
am,October [month],ኦክተውበር
am,Sat [abbreviated weekday],ቅዳሜ
am,Saturday [weekday],ቅዳሜ
am,Sep [abbreviated month],ሴፕቴ
am,September [month],ሴፕቴምበር
am,Sun [abbreviated weekday],እሑድ
am,Sunday [weekday],እሑድ
am,Thu [abbreviated weekday],ሐሙስ
am,Thursday [weekday],ሐሙስ
am,Tue [abbreviated weekday],ማክሰ
am,Tuesday [weekday],ማክሰኞ
am,Wed [abbreviated weekday],ረቡዕ
am,Wednesday [weekday],ረቡዕ
an,Apr [abbreviated month],Abr
an,April [month],Abril
an,Aug [abbreviated month],Ago
an,August [month],Agosto
an,Dec [abbreviated month],Abi
an,December [month],Abiento
an,Feb [abbreviated month],Fre
an,February [month],Frebero
an,Fri [abbreviated weekday],Bie
an,Friday [weekday],Biernes
an,Jan [abbreviated month],Chi
an,January [month],Chinero
an,Jul [abbreviated month],Chl
an,July [month],Chulio
an,Jun [abbreviated month],Chn
an,June [month],Chunio
an,Mar [abbreviated month],Mar
an,March [month],Marzo
an,May [abbreviated month],May
an,May [month],Mayo
an,Mon [abbreviated weekday],Lun
an,Monday [weekday],Luns
an,Nov [abbreviated month],Nob
an,November [month],Nobiembre
an,Oct [abbreviated month],Oct
an,October [month],Octubre
an,Sat [abbreviated weekday],Sab
an,Saturday [weekday],Sabado
an,Sep [abbreviated month],Set
an,September [month],Setiembre
an,Sun [abbreviated weekday],Dom
an,Sunday [weekday],Domingo
an,Thu [abbreviated weekday],Chu
an,Thursday [weekday],Chuebes
an,Tue [abbreviated weekday],Mar
an,Tuesday [weekday],Martes
an,Wed [abbreviated weekday],Mie
an,Wednesday [weekday],Miecols
ar,"(Warning: Unless you add members to the team, the diagnostic will not deploy.)",تحذير: لا يمكنك إرسال القياس ما لم تقم يإضافة أسماء مشاركين.
ar,"<li class=""special""> Step 1 of 5 </li>",الخطوة 1 من 5
ar,"<li class=""special""> Step 2 of 5 </li>",الخطوة 2 من 5
ar,"<li class=""special""> Step 3 of 5 </li>",الخطوة 3 من 5
ar,"<li class=""special""> Step 4 of 5 </li>",الخطوة 4 من 5
